timestamp,temperature,humidity,lux,accel_x,accel_y,accel_z,anomaly_type
2026-04-20 14:48:25,29.73799,41.0818,320.30557,-0.00499,-0.06936,9.79785,normal
2026-04-20 14:48:29,29.86857,41.19705,321.24008,0.03543,0.01087,9.83533,normal
2026-04-20 14:48:33,29.78596,41.61364,321.74757,0.04259,0.03038,9.85397,normal
2026-04-20 14:48:37,29.65,41.59543,322.02826,-0.03463,-0.04396,9.79249,normal
2026-04-20 14:48:41,29.78323,41.61522,323.51225,-0.01078,-0.06166,9.78505,normal
2026-04-20 14:48:45,29.50888,41.62089,321.63898,0.01808,0.04627,9.81094,normal
2026-04-20 14:48:49,29.62346,41.9708,321.90303,0.06972,-0.07473,9.76871,normal
2026-04-20 14:48:53,29.67281,41.98168,321.04468,-0.0063,0.02635,9.8446,normal
2026-04-20 14:48:57,29.94843,41.85076,319.56912,0.03118,-0.0366,9.78131,normal
2026-04-20 14:49:01,29.86233,41.99351,319.38438,0.04537,-0.00615,9.79744,normal
2026-04-20 14:49:05,29.87143,41.82737,320.77378,0.01307,0.02609,9.82299,normal
2026-04-20 14:49:09,29.61075,41.95943,317.51413,0.04235,-0.0004,9.82044,normal
2026-04-20 14:49:13,29.81272,42.06462,316.44368,-0.02373,-0.03346,9.78679,normal
2026-04-20 14:49:17,29.78067,42.03645,316.14346,0.00513,0.03573,9.84743,normal
2026-04-20 14:49:21,29.61769,42.17423,320.05484,0.08524,-0.00728,9.7463,normal
2026-04-20 14:49:25,29.55055,41.85902,323.9846,0.09256,0.12919,9.79105,normal
2026-04-20 14:49:29,29.83994,41.90801,327.8795,0.06552,-0.08841,9.80264,normal
2026-04-20 14:49:33,29.68288,41.81855,328.00383,0.08356,-0.08725,9.7883,normal
2026-04-20 14:49:37,29.65643,42.46052,328.18978,-0.04211,0.02936,9.83635,normal
2026-04-20 14:49:41,29.72979,42.50349,328.31148,-0.00316,-0.02445,9.77651,normal
2026-04-20 14:49:45,29.71819,42.38052,328.06743,0.01397,0.01734,9.85746,normal
2026-04-20 14:49:49,29.76045,41.86364,328.10553,0.1314,-0.06232,9.79464,normal
2026-04-20 14:49:53,29.64553,42.30228,328.72063,0.01906,-0.01713,9.77578,normal
2026-04-20 14:49:57,30.01204,42.46674,327.79097,0.06185,-0.00561,9.7662,normal
2026-04-20 14:50:01,30.00145,42.07656,326.41369,0.04711,-0.03764,9.80533,normal
2026-04-20 14:50:05,29.86288,42.63102,327.27832,0.05049,-0.01297,9.79017,normal
2026-04-20 14:50:09,29.86708,42.59262,326.29866,0.03082,-0.07048,9.81694,normal
2026-04-20 14:50:13,29.92971,42.66287,325.88,-0.01981,4.51838,9.80142,anomaly
2026-04-20 14:50:17,29.88404,42.21354,325.90033,-0.07996,-2.36545,9.82652,anomaly
2026-04-20 14:50:22,30.02413,42.41331,325.49612,0.08525,-0.0645,9.80721,normal
2026-04-20 14:50:25,29.90384,42.46878,326.76211,0.00742,-0.07039,9.80204,normal
2026-04-20 14:50:30,29.99966,43.00884,326.04876,-0.04909,0.02383,9.83079,normal
2026-04-20 14:50:34,29.91361,42.78151,327.27568,0.05026,-0.07483,9.81099,normal
2026-04-20 14:50:38,29.98044,43.10183,326.9284,0.0447,0.01655,9.82571,normal
2026-04-20 14:50:42,30.20533,43.4175,326.66732,0.0634,-0.01456,9.83221,normal
2026-04-20 14:50:45,30.06426,43.3792,326.79364,0.07376,-0.03966,9.80811,normal
2026-04-20 14:50:49,30.05448,42.88339,325.2841,-0.00707,0.0415,9.80517,normal
2026-04-20 14:50:54,29.85603,43.34706,326.12051,-0.00609,0.02208,9.8318,normal
2026-04-20 14:50:58,29.91026,43.02895,326.8165,0.02264,-0.00367,9.74831,normal
2026-04-20 14:51:02,29.96582,42.54409,327.44121,0.06552,-0.10653,9.80344,normal
2026-04-20 14:51:05,30.01683,42.79949,325.51879,-0.05051,0.01221,9.81292,normal
2026-04-20 14:51:09,29.82408,43.09383,324.41484,0.04489,-0.05823,9.81849,normal
2026-04-20 14:51:13,30.04914,43.04046,324.43957,0.06898,-0.02443,9.78664,normal
2026-04-20 14:51:17,29.95457,42.46706,326.09551,0.07168,-0.01503,9.83227,normal
2026-04-20 14:51:22,30.05863,42.42443,325.7045,0.05768,0.05941,9.79423,normal
2026-04-20 14:51:26,29.90114,42.62885,324.74405,0.07796,-0.02857,9.80395,normal
